freq,psd_x,psd_y,psd_z,psd_xyz
156.7,1.713e+02,1.561e+02,5.010e+02,8.284e+02
158.2,1.649e+02,1.503e+02,5.157e+02,8.309e+02
159.6,1.777e+02,1.382e+02,4.586e+02,7.745e+02
161.1,1.764e+02,1.282e+02,3.293e+02,6.339e+02
162.6,1.767e+02,1.407e+02,3.378e+02,6.552e+02
164.1,1.692e+02,1.433e+02,3.864e+02,6.989e+02
165.5,1.651e+02,1.532e+02,3.718e+02,6.902e+02
167.0,1.637e+02,1.798e+02,3.433e+02,6.868e+02
168.5,1.622e+02,2.062e+02,3.304e+02,6.987e+02
170.0,1.663e+02,2.269e+02,3.261e+02,7.193e+02
171.5,1.760e+02,2.933e+02,3.727e+02,8.420e+02
172.9,1.830e+02,3.220e+02,3.245e+02,8.295e+02
174.4,1.565e+02,2.902e+02,1.954e+02,6.422e+02
175.9,1.420e+02,2.580e+02,1.548e+02,5.547e+02
177.4,1.305e+02,2.375e+02,1.366e+02,5.046e+02
178.8,1.287e+02,2.210e+02,1.270e+02,4.767e+02
180.3,1.298e+02,2.234e+02,1.109e+02,4.641e+02
181.8,1.159e+02,2.397e+02,9.447e+01,4.500e+02
183.3,9.410e+01,2.566e+02,8.951e+01,4.402e+02
184.8,8.128e+01,2.572e+02,8.219e+01,4.207e+02
186.2,6.729e+01,2.581e+02,7.952e+01,4.050e+02
187.7,5.502e+01,2.712e+02,7.666e+01,4.028e+02
189.2,4.852e+01,2.847e+02,6.969e+01,4.029e+02
190.7,4.427e+01,2.856e+02,6.890e+01,3.988e+02
192.2,4.927e+01,2.926e+02,7.827e+01,4.202e+02
193.6,6.290e+01,3.106e+02,9.767e+01,4.711e+02
195.1,6.916e+01,3.150e+02,1.022e+02,4.863e+02
196.6,7.269e+01,2.785e+02,1.049e+02,4.561e+02
198.1,7.493e+01,2.532e+02,1.185e+02,4.467e+02
199.5,8.364e+01,2.567e+02,1.211e+02,4.615e+02
