freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.804e+00,2.170e+01,4.518e+02,4.763e+02
1.5,1.098e+01,2.177e+01,2.655e+02,2.983e+02
3.0,1.235e+01,1.260e+01,2.467e+01,4.962e+01
4.4,1.303e+01,1.313e+01,2.535e+02,2.796e+02
5.9,1.275e+01,1.229e+01,1.090e+03,1.115e+03
7.4,1.286e+01,2.061e+01,1.721e+03,1.755e+03
8.9,1.279e+01,2.365e+01,2.355e+03,2.392e+03
10.3,1.294e+01,1.630e+01,3.275e+03,3.304e+03
11.8,1.210e+01,1.220e+01,4.379e+03,4.404e+03
13.3,1.321e+01,1.236e+01,5.640e+03,5.666e+03
14.8,1.614e+01,1.369e+01,7.033e+03,7.063e+03
16.3,3.032e+01,1.262e+01,8.979e+03,9.022e+03
17.7,4.221e+01,1.315e+01,1.043e+04,1.049e+04
19.2,3.074e+01,1.498e+01,1.249e+04,1.253e+04
20.7,3.510e+01,1.577e+01,1.519e+04,1.524e+04
22.2,3.239e+01,1.712e+01,1.778e+04,1.783e+04
23.6,1.988e+01,2.053e+01,2.046e+04,2.050e+04
25.1,1.741e+01,2.017e+01,2.337e+04,2.341e+04
26.6,1.671e+01,2.443e+01,2.702e+04,2.706e+04
28.1,1.599e+01,3.248e+01,3.131e+04,3.136e+04
29.6,1.601e+01,2.900e+01,3.643e+04,3.647e+04
31.0,1.636e+01,3.053e+01,4.276e+04,4.281e+04
32.5,1.742e+01,4.193e+01,4.959e+04,4.965e+04
34.0,1.720e+01,5.086e+01,5.707e+04,5.713e+04
35.5,1.545e+01,5.906e+01,6.633e+04,6.641e+04
36.9,1.782e+01,4.898e+01,7.885e+04,7.892e+04
38.4,2.327e+01,5.253e+01,9.439e+04,9.447e+04
39.9,3.980e+01,8.264e+01,1.098e+05,1.100e+05
41.4,7.791e+01,1.317e+02,1.279e+05,1.282e+05
42.9,9.243e+01,2.135e+02,1.405e+05,1.408e+05
44.3,9.839e+01,3.343e+02,1.447e+05,1.452e+05
