freq,psd_x,psd_y,psd_z,psd_xyz
143.4,2.503e+02,6.426e+01,2.225e+02,5.371e+02
144.9,2.329e+02,7.395e+01,4.047e+02,7.115e+02
146.3,2.028e+02,6.539e+01,7.028e+02,9.710e+02
147.8,2.098e+02,6.384e+01,8.189e+02,1.093e+03
149.3,2.222e+02,9.482e+01,9.626e+02,1.280e+03
150.8,2.219e+02,1.431e+02,1.090e+03,1.455e+03
152.3,2.098e+02,2.005e+02,1.194e+03,1.604e+03
153.7,1.991e+02,2.500e+02,1.195e+03,1.644e+03
155.2,2.058e+02,2.024e+02,7.784e+02,1.187e+03
156.7,1.967e+02,1.691e+02,6.679e+02,1.034e+03
158.2,1.898e+02,1.702e+02,6.119e+02,9.719e+02
159.6,1.893e+02,1.506e+02,3.936e+02,7.335e+02
161.1,1.910e+02,1.519e+02,3.126e+02,6.555e+02
162.6,1.802e+02,1.606e+02,3.603e+02,7.011e+02
164.1,1.736e+02,1.574e+02,3.593e+02,6.903e+02
165.6,1.722e+02,1.593e+02,3.236e+02,6.551e+02
167.0,1.613e+02,1.819e+02,3.083e+02,6.515e+02
168.5,1.560e+02,2.068e+02,2.895e+02,6.522e+02
170.0,1.514e+02,2.455e+02,3.045e+02,7.014e+02
171.5,1.655e+02,3.312e+02,3.834e+02,8.801e+02
172.9,1.823e+02,3.696e+02,3.167e+02,8.686e+02
174.4,1.567e+02,3.234e+02,1.926e+02,6.726e+02
175.9,1.363e+02,2.837e+02,1.277e+02,5.476e+02
177.4,1.259e+02,2.597e+02,1.034e+02,4.891e+02
178.9,1.174e+02,2.530e+02,9.375e+01,4.641e+02
180.3,1.061e+02,2.512e+02,8.158e+01,4.389e+02
181.8,9.413e+01,2.680e+02,7.791e+01,4.400e+02
183.3,8.073e+01,2.823e+02,7.190e+01,4.350e+02
184.8,7.100e+01,2.880e+02,7.108e+01,4.301e+02
186.2,6.554e+01,2.964e+02,7.056e+01,4.325e+02
187.7,5.173e+01,3.012e+02,6.544e+01,4.183e+02
189.2,4.083e+01,3.236e+02,6.846e+01,4.329e+02
190.7,3.943e+01,3.435e+02,7.764e+01,4.605e+02
192.2,4.932e+01,3.931e+02,8.924e+01,5.317e+02
193.6,5.684e+01,4.666e+02,1.035e+02,6.269e+02
195.1,6.307e+01,5.301e+02,8.861e+01,6.817e+02
196.6,7.322e+01,5.300e+02,9.427e+01,6.975e+02
198.1,8.534e+01,5.386e+02,1.052e+02,7.291e+02
199.6,9.012e+01,5.801e+02,1.083e+02,7.785e+02
